BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS
40.900749,0.818182,95.4,0,95.4,0,1000,201.802084,139.509787
3202.467416,0.909091,0,0,0,6442.945483,7000,4103.032597,1072.340217
2495.148862,1,773.17,773.17,0,0,7500,622.066742,627.284787
1666.670542,0.636364,1499,1499,0,205.788017,7500,0,
817.714335,1,16,16,0,0,1200,678.334763,244.791237
1809.828751,1,1333.28,0,1333.28,0,1800,1400.05777,2407.246035
627.260806,1,7091.01,6402.63,688.38,0,13500,6354.314328,198.065894
1823.652743,1,436.2,0,436.2,0,2300,679.065082,532.03399
1014.926473,1,861.49,661.49,200,0,7000,688.278568,311.963409
152.225975,0.545455,1281.6,1281.6,0,0,11000,1164.770591,100.302262
1293.124939,1,920.12,0,920.12,0,1200,1083.301007,2172.697765
630.794744,0.818182,1492.18,1492.18,0,0,2000,705.618627,155.549069
1516.92862,1,3217.99,2500.23,717.76,0,3000,608.263689,490.207013
921.693369,1,2137.93,419.96,1717.97,0,7500,1655.891435,251.137986
2772.772734,1,0,0,0,346.81139,3000,805.647974,989.962866
6886.213231,1,1611.7,0,1611.7,2301.491267,8000,1993.439277,2109.90649
2072.074354,0.875,0,0,0,2784.274703,3000,391.974562,376.579631
41.089489,0.454545,519,0,519,0,2500,254.590662,73.203221
1989.072228,1,504.35,166,338.35,0,13000,1720.837373,744.613395
3577.970933,1,398.64,0,398.64,0,4000,1053.980464,12465.54938
2016.684686,1,176.68,0,176.68,0,2000,223.0686,13557.29726
6369.531318,1,6359.95,5910.04,449.91,229.028245,11250,2077.959051,1659.775075
132.34224,0.636364,815.9,0,815.9,0,1800,2359.629958,86.329554
3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,9000,9479.043842,1425.426525
5368.571219,1,0,0,0,798.949863,6000,1422.726707,1657.002877
169.781679,1,399.6,0,399.6,0,3000,215.306142,163.005536
1615.96724,1,102,102,0,244.840485,1700,890.178845,971.183209
125.694817,1,233.28,0,233.28,0,1000,207.773715,164.748819
7152.864372,1,387.05,204.55,182.5,2236.145259,10500,1601.448347,1648.851345
22.06349,1,100,0,100,0,6900,160.767773,159.684442
12136.21996,1,3038.01,1013.2,2024.81,3183.583301,13000,4230.323491,3292.01503
1162.273324,1,1347.71,400,947.71,175.815755,6000,645.998299,256.848991
6732.823064,1,324.95,324.95,0,1189.533753,10500,1720.118876,2506.745366
125.660453,1,636.79,636.79,0,0,1200,423.449696,196.301885
3517.101616,0.727273,547.28,0,547.28,0,11000,8735.607835,17862.55831
1656.350781,1,0,0,0,99.264367,1800,351.500199,634.569311
7427.076941,1,0,0,0,8873.375046,9000,1636.361601,1986.843608
4047.480828,1,2380.55,1642.17,738.38,1697.660901,5000,1617.894416,1541.141605
6269.418144,1,204,204,0,2925.699862,9000,1237.111661,2049.408839
1411.60223,0.454545,963.24,963.24,0,6173.682877,7500,20071.07544,719.948985
663.44781,0.727273,0,0,0,3133.063934,1800,3067.05783,283.333445
784.889762,0.909091,1526.59,786.3,740.29,2188.419607,3000,1262.309666,363.142736
4104.710798,1,203.82,203.82,0,0,4500,868.275275,1801.264841
1360.742377,1,0,0,0,1481.587093,1500,378.294227,321.354137
5315.945594,1,1525.44,469.8,1055.64,0,8500,1430.341501,1318.71492
2242.311686,1,437,97,340,184.648692,2400,0,
474.447149,0.5,109.74,0,109.74,1013.659552,1700,176.013005,147.199792
3910.111237,1,0,0,0,1980.873201,4200,0,
229.867179,1,2390.6,1402.93,987.67,0,3300,2543.953559,175.657825
863.809833,1,507.5,507.5,0,695.097159,4000,587.866451,286.448719
4931.331857,1,901.42,646.07,255.35,8530.648614,12000,8113.297346,1012.415961
1078.888565,1,3107.85,2221.74,886.11,0,2500,1399.82834,1322.446601
1565.681099,1,0,0,0,321.359135,3500,691.825279,581.481917
464.674156,0.888889,1979.22,1979.22,0,1981.265503,3000,3110.052742,132.446091
6.660517,0.636364,310,0,310,0,1000,417.016763,
1311.995984,1,1283.9,1283.9,0,0,6000,0,
3625.218146,1,313.27,313.27,0,668.468743,4000,0,
2386.330629,1,5217.62,4789.09,428.53,0,7500,5678.729613,1311.514878
3971.138765,1,0,0,0,224.575517,4000,764.938728,1600.212243
5493.90406,1,229,0,229,970.591332,6000,2110.557023,1895.02617
1879.114033,0.727273,113,113,0,0,6500,3509.686561,548.105836
1555.793701,1,66.2,66.2,0,0,1600,338.083661,837.215674
809.582978,0.909091,0,0,0,3819.672466,4150,4372.148648,241.645387
7.152356,0.090909,840,840,0,0,1600,0,
1923.886805,1,1887.64,0,1887.64,1605.949371,1850,3688.045998,3266.996777
1758.059987,1,412.33,325.21,87.12,0,1800,777.451648,897.905444
809.847455,0.875,0,0,0,908.423608,1500,146.074769,179.412493
1576.305029,1,0,0,0,382.908547,2500,540.022225,352.883804
3990.523579,1,263.5,190.6,72.9,0,6000,6876.836205,1001.607366
1699.435486,1,1363.69,1363.69,0,0,1700,1623.816348,923.505868
5487.683724,1,419.1,0,419.1,625.399386,6250,1288.214909,2180.881868
2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,7000,28232.69446,1107.030803
656.01301,1,0,0,0,1474.349901,7000,910.457985,140.983193
1808.972419,1,713.9,503.08,210.82,0,2250,889.017418,622.757696
532.334517,0.909091,791.94,516.64,275.3,0,6000,1305.177304,175.510344
